"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","DEPRECATED healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-365-plus-days","estimated-ais-365-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","supplier"
"2025-07-16","FBA-SL-EV04KIDS-BLK","X003ER5Y6R","B0BGJHL6V3","Seculife Seculife GPS Tracker for Kids - SecuLife Real-Time Tracking Device with SOS Button & 2-Way Speakerphone - Safety Electronics for Kids, Special Needs, Autism, Down Syndrome | Amazon USA","New","303","0","26","281","0","0","0","USD","10","33","59","131","Low traffic","60.0","29.95","29.95","24.24","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.36","0.104976","cubic feet","Standard","31.807728","US","gl_wireless","76575","167","0","36","30","29.95","299.5","988.35","1696.85","3658.85","2","20","4","0","0","32.08","0","0","0","0","","2","2","","","","","","","","","","","","","","","367.4","98","Healthy","","","2025-07-14","Yes","No","367.4","233.0","2025-07-14","303","0","1","1","168","unassigned"
"2025-07-16","FBA-SL-EV7SNRS-BLK","X004LZVZLT","B0DVBWHNZT","Elderly Safety 4G Medical Alert System - Fall Detection, GPS Location, Assistive Speakerphone, Wearable SOS Panic Button, 24/7 Monitoring Mobile Caregiver App, Small, Lightweight, Personal Safety","New","93","0","0","93","0","0","0","USD","1","1","4","5","Low traffic","139.0","59.0","59.0","0.0","Advertise listing","","0.0","0","0","3586.44","0.04","0.030067","cubic feet","Standard","2.796231","US","gl_wireless","172782","366","91","372","241","59.0","59.0","59.0","236.0","325.0","0","0","0","0","0","2.54","0","0","0","0","","2","0","","","","","","","","","","","","","","","2881.0","5","Excess","","","2025-07-14","Yes","No","2881.0","2213.5","2025-07-14","93","0","2","0","366","unassigned"
"2025-07-16","FBA-SL-24MEK-BLU","X004GB144B","B0DLLNXR9L","SECULIFE - Kids Watch with GPS tracker | SOS Safety Alerts | Two-Way Calling & Texting | Kids Tracking Watch | School Mode | No Social Media | Smart Watch | Advance Parental Controls","New","194","0","203","0","0","0","0","USD","12","108","256","443","","59.99","41.25","41.25","39.99","NoRestockExcessActionRequired","","0.0","0","0","0.0","1.8","0.01964","cubic feet","Standard","3.81016","US","gl_wireless","56406","63","0","10","8","41.25","495.0","4455.0","10322.25","16951.75","7","196","0","0","0","2.41","100","0","100","0","","1","10","","","","","","","","","","","","","","","45.5","161","Healthy","9","2025-07-23","2025-07-14","Yes","No","45.5","34.7","2025-07-14","294","0","1","0","63","unassigned"
"2025-07-16","FBA-SL-SOSWB-BLK","X003A2JLQP","B09XBTMJMT","Seculife Seculife SOS Wristband – Elderly Life Saving Fall Alert System, Emergency Call Button, Assistive Speakerphone, GPS Tracking, Seniors Dementia, Alzheimer’s, 24/7 Medical Monitoring","New","102","0","0","1","102","0","0","USD","1","13","19","24","Low traffic","45.0","31.5","31.5","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.12","0.019868","cubic feet","Standard","2.026536","US","gl_wireless","125047","163","0","31","55","31.5","31.5","409.5","592.2","722.7","0","0","0","102","0","4.37","0","0","0","0","","0","0","1","0.01","101","2.01","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","723.8","15","Healthy","","","2025-07-14","Yes","No","537.9","723.8","2025-07-14","102","0","0","0","163","unassigned"
"2025-07-16","FBA-SL-TRS11","X0048CBN03","B0D2RZVND3","SecuLife GPS Tracker for Vehicles, Kids, Adults, Pets & Bikes – Hidden Car Tracker with Geo-Fencing, Location History, Water-Resistant, Lightweight Build, Long Battery Life & 4G LTE Real-Time Tracking","New","144","0","1","155","0","0","0","USD","0","17","43","95","Low traffic","30.0","11.95","11.95","0.0","CreateShippingPlan","","0.0","0","0","0.0","0.26","0.020241","cubic feet","Standard","2.914704","US","gl_wireless","146859","143","0","33","19","11.95","0.0","208.95","652.45","1458.45","1","0","0","0","0","3.08","0","0","0","0","","54","7","","","","","","","","","","","","","","","518.8","58","Healthy","","","2025-07-14","Yes","No","518.8","333.7","2025-07-14","144","0","42","12","185","unassigned"
"2025-07-16","FBA-SL-KDBLU25","X004F4I3Y3","B0DJL4ZZDQ","Seculife GPS Tracker for Kids Real-Time Tracking Device with SOS Button & 2-Way Speakerphone - Safety Electronics for Kids, Special Needs, Autism (Blue Smartwatch)","New","48","0","50","0","0","0","0","USD","1","19","40","53","Low traffic","59.99","40.5","40.5","0.0","CreateShippingPlan","","0.0","0","0","0.0","2.12","0.01917","cubic feet","Standard","0.92016","US","gl_wireless","194950","39","0","10","11","40.5","40.5","769.5","1522.0","1970.5","39","11","0","0","0","0.62","0","0","0","0","","2","0","","","","","","","","","","","","","","","54.6","60","Low stock","46","2025-07-22","2025-07-14","Yes","No","54.6","33.8","2025-07-14","48","0","0","2","41","unassigned"
"2025-07-16","FBA-SL-SOSRED-T","X003H15FO1","B0BL9PY6CJ","Seculife SOS Wristband Medical Alert System for Seniors – Emergency Fall Alert Device for Elderly, Real-Time GPS, SOS Button & Assistive Speakerphone – Ideal for Alzheimer’s, Dementia & Elderly Safety","New","83","0","83","0","0","0","0","USD","6","50","118","198","","45.0","31.0","31.0","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","1.52","0.019251","cubic feet","Standard","1.597833","US","gl_wireless","70191","114","0","14","12","31.0","186.0","1538.0","3520.75","5520.75","0","83","0","0","0","2.87","100","0","100","0","","0","6","","","","","","","","","","","","","","","82.9","92","Low stock","","","2025-07-14","Yes","No","82.9","81.3","2025-07-14","183","0","0","0","114","unassigned"
"2025-07-16","FBA-SL-SNRS-SWBLK","X004NUY0PP","B0F5YS19J3","Seculife SOS Wristband – Elderly Life Saving Fall Alert System, Emergency Call Button, Assistive Speakerphone, GPS Tracking, Seniors Dementia, Alzheimer’s, 24/7 Medical Monitoring (Black)","New","73","0","76","0","0","0","0","USD","5","16","26","26","","45.0","31.0","31.0","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.27","0.019583","cubic feet","Standard","1.429559","US","gl_wireless","233452","103","0","18","36","31.0","155.0","496.0","806.0","806.0","0","50","26","0","0","1.18","0","0","0","0","","1","1","","","","","","","","","","","","","","","82.9","","","","","2025-07-14","Yes","No","82.9","81.3","2025-07-14","73","0","1","0","104","unassigned"
"2025-07-16","FBA-SL-EV04-WHT","X003EITM5P","B0BG12R3Y3","Seculife SecuLife SOS - Medical Systems for Seniors, Fall Detection for Seniors with Life Saving SOS Button, Speakerphone, Real-Time 4G LTE GPS Tracker, Ideal for Dementia & Alzheimer Care","New","92","0","11","82","7","0","0","USD","0","6","19","37","Low traffic","59.0","33.95","33.95","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.32","0.1053","cubic feet","Standard","9.6876","US","gl_wireless","440180","251","0","61","32","33.95","0.0","203.7","592.45","1082.95","1","0","10","7","0","13.27","0","0","0","0","","9","2","7","0.37","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","445.7","22","Healthy","","","2025-07-14","Yes","No","445.7","268.2","2025-07-14","99","7","1","1","257","unassigned"
"2025-07-16","FBA-SL-JM-TRLL1AS","X0046Y1ANX","B0CZSJBNL5","Seculife Seculife Mini GPS Tracker for Vehicles Cars Trucks RVs USA Based Company. Real Time 5G 4G LTE Car GPS Tracking Device Long Lasting Battery. Worldwide Unlimited Distance. Subscription Needed","New","1","0","0","0","0","1","0","USD","0","0","0","0","Low traffic","31.0","0.0","31.0","0.0","Advertise listing","","0.0","0","0","26.36","0.0","0.0325","cubic feet","Standard","0.0325","US","gl_wireless","711565","156","1","","","31.0","0.0","0.0","0.0","0.0","0","0","0","1","0","0.22","0","0","0","0","1","0","0","0","0.0","0","0.0","0","0.0","0","0.0","1","0.19","0","0.0","0","0.0","","1","Excess","","","","","","","","2025-07-14","1","0","0","0","156","unassigned"
